event_label,tournament,player,best_odds,best_decimal,best_implied_raw,best_book,dk_odds,dk_implied_raw,avg_novig_prob
open,The Open Winner,Billy Horschel,15000,151.0,0.006623,espnbet,,,0.004153249448940367
open,The Open Winner,Michael Brennan,15000,151.0,0.006623,espnbet,,,0.004153249448940367
open,The Open Winner,Sami Välimäki,15000,151.0,0.006623,espnbet,,,0.004153249448940367
open,The Open Winner,Andrew Novak,25000,251.0,0.003984,draftkings,25000.0,0.003984,0.004151753826555736
open,The Open Winner,Austin Eckroat,15000,151.0,0.006623,betmgm,,,0.004130682495024534
open,The Open Winner,Michael Thorbjornsen,15000,151.0,0.006623,betmgm,,,0.004130682495024534
open,The Open Winner,Victor Perez,15000,151.0,0.006623,betmgm,,,0.004130682495024534
open,The Open Winner,Denny McCarthy,20000,201.0,0.004975,espnbet,,,0.004115449982301647
open,The Open Winner,Jordan Smith,25000,251.0,0.003984,draftkings,25000.0,0.003984,0.004090933959380989
open,The Open Winner,Thomas Detry,25000,251.0,0.003984,draftkings,25000.0,0.003984,0.004000423663369689
open,The Open Winner,Max Greyserman,20000,201.0,0.004975,espnbet,15000.0,0.006623,0.003973843103210082
open,The Open Winner,Ryan Gerard,17500,176.0,0.005682,lowvig,,,0.0039177605872337
open,The Open Winner,Davis Thompson,25000,251.0,0.003984,draftkings,25000.0,0.003984,0.0039012176286164746
open,The Open Winner,Dean Burmester,20000,201.0,0.004975,draftkings,20000.0,0.004975,0.0038512016164962246
open,The Open Winner,Jake Knapp,17500,176.0,0.005682,espnbet,,,0.003846917826772358
open,The Open Winner,Christiaan Bezuidenhout,25000,251.0,0.003984,draftkings,25000.0,0.003984,0.0038070963784147434
open,The Open Winner,Matt Wallace,30000,301.0,0.003322,draftkings,30000.0,0.003322,0.0036669305510677297
open,The Open Winner,Keith Mitchell,20000,201.0,0.004975,lowvig,,,0.003605381674638876
open,The Open Winner,Gary Woodland,20000,201.0,0.004975,betmgm,,,0.0035995650476560353
open,The Open Winner,J.T. Poston,30000,301.0,0.003322,draftkings,30000.0,0.003322,0.003564905317371238
open,The Open Winner,Keita Nakajima,17500,176.0,0.005682,espnbet,,,0.0035631531585201826
open,The Open Winner,Byeong Hun An,30000,301.0,0.003322,draftkings,30000.0,0.003322,0.00353895210977428
open,The Open Winner,Thorbjorn Olesen,30000,301.0,0.003322,draftkings,30000.0,0.003322,0.003482763952671855
open,The Open Winner,Aldrich Potgieter,20000,201.0,0.004975,draftkings,20000.0,0.004975,0.003326637708759054
open,The Open Winner,Bud Cauley,20000,201.0,0.004975,betmgm,20000.0,0.004975,0.003214741579183019
open,The Open Winner,Michael Kim,25000,251.0,0.003984,betmgm,20000.0,0.004975,0.0031248539923583534
open,The Open Winner,Daniel Hillier,20000,201.0,0.004975,espnbet,,,0.0031197970720939646
open,The Open Winner,Elvis Smylie,20000,201.0,0.004975,espnbet,,,0.0031197970720939646
open,The Open Winner,John Parry,20000,201.0,0.004975,espnbet,,,0.0031197970720939646
open,The Open Winner,Adam Hadwin,20000,201.0,0.004975,betmgm,,,0.003102845449606984
open,The Open Winner,Beau Hossler,20000,201.0,0.004975,betmgm,,,0.003102845449606984
open,The Open Winner,Eric Cole,20000,201.0,0.004975,betmgm,,,0.003102845449606984
open,The Open Winner,Lee Hodges,20000,201.0,0.004975,betmgm,,,0.003102845449606984
open,The Open Winner,Lucas Glover,30000,301.0,0.003322,draftkings,30000.0,0.003322,0.0030743666767030784
open,The Open Winner,Stephan Jaeger,40000,401.0,0.002494,draftkings,40000.0,0.002494,0.0029555984368390374
open,The Open Winner,Mackenzie Hughes,50000,501.0,0.001996,draftkings,50000.0,0.001996,0.002844599068064363
open,The Open Winner,Daniel Brown,35000,351.0,0.002849,draftkings,35000.0,0.002849,0.002734098270943965
